0,1,2,3,4,5,6,7,8
REGISTER OF VOTERS RESIDING OUTSIDE KENYA,,,,,,,,
Code,Name,Reg. Area Code,Reg. Area Name,Reg. Centre,Reg. Centre Code,Polling Station Code,Polling Station Name,Registered Voters
291,DIASPORA,5000,TANZANIA,001,KENYA EMBASSY IN DAR ES SALAAM,048291500000101,KENYA EMBASSY IN DAR ES SALAAM,496
291,DIASPORA,5000,TANZANIA,001,KENYA EMBASSY IN DAR ES SALAAM,048291500000102,KENYA EMBASSY IN DAR ES SALAAM,496
291,DIASPORA,5000,TANZANIA,002,KENYA CONSULATE IN ARUSHA,048291500000201,KENYA CONSULATE IN ARUSHA,410
291,DIASPORA,5001,UGANDA,003,KENYA HIGH COMMISSION IN KAMPALA,048291500100301,KENYA HIGH COMMISSION IN KAMPALA,471
291,DIASPORA,5001,UGANDA,003,KENYA HIGH COMMISSION IN KAMPALA,048291500100302,KENYA HIGH COMMISSION IN KAMPALA,470
291,DIASPORA,5001,UGANDA,003,KENYA HIGH COMMISSION IN KAMPALA,048291500100303,KENYA HIGH COMMISSION IN KAMPALA,470
291,DIASPORA,5002,RWANDA,004,KENYA EMBASSY IN KIGALI,048291500200401,KENYA EMBASSY IN KIGALI,545
291,DIASPORA,5002,RWANDA,004,KENYA EMBASSY IN KIGALI,048291500200402,KENYA EMBASSY IN KIGALI,545
291,DIASPORA,5003,BURUNDI,005,KENYA EMBASSY IN BUJUMBURA,048291500300501,KENYA EMBASSY IN BUJUMBURA,201
291,DIASPORA,5004,SOUTH AFRICA,006,KENYA EMBASSY IN PRETORIA,048291500400601,KENYA EMBASSY IN PRETORIA,479
291,DIASPORA,5004,SOUTH AFRICA,006,KENYA EMBASSY IN PRETORIA,048291500400602,KENYA EMBASSY IN PRETORIA,479
291,DIASPORA,5005,SOUTH SUDAN,007,KENYA EMBASSY IN JUBA,048291500500701,KENYA EMBASSY IN JUBA,489
291,DIASPORA,5005,SOUTH SUDAN,007,KENYA EMBASSY IN JUBA,048291500500702,KENYA EMBASSY IN JUBA,488
291,DIASPORA,5006,GERMANY,008,KENYA EMBASSY IN BERLIN,048291500600801,KENYA EMBASSY IN BERLIN,314
291,DIASPORA,5007,UNITED KINGDOM,009,KENYA HIGH COMMISSION IN LONDON,048291500700901,KENYA HIGH COMMISSION IN LONDON,399
291,DIASPORA,5007,UNITED KINGDOM,009,KENYA HIGH COMMISSION IN LONDON,048291500700902,KENYA HIGH COMMISSION IN LONDON,399
291,DIASPORA,5008,QATAR,010,KENYA EMBASSY IN DOHA,048291500801001,KENYA EMBASSY IN DOHA,479
291,DIASPORA,5008,QATAR,010,KENYA EMBASSY IN DOHA,048291500801002,KENYA EMBASSY IN DOHA,479
291,DIASPORA,5008,QATAR,010,KENYA EMBASSY IN DOHA,048291500801003,KENYA EMBASSY IN DOHA,479
291,DIASPORA,5009,UNITED ARAB EMIRATES,011,KENYA EMBASSY IN ABU DHABI,048291500901101,KENYA EMBASSY IN ABU DHABI,103
291,DIASPORA,5009,UNITED ARAB EMIRATES,012,KENYA CONSULATE IN DUBAI,048291500901201,KENYA CONSULATE IN DUBAI,642
291,DIASPORA,5010,CANADA,013,KENYA HIGH COMMISSION IN OTTAWA,048291501001301,KENYA HIGH COMMISSION IN OTTAWA,112
291,DIASPORA,5010,CANADA,014,KENYA HONORARY CONSULATE IN TORONTO,048291501001401,KENYA HONORARY CONSULATE IN TORONTO,167
291,DIASPORA,5010,CANADA,015,KENYA HONORARY CONSULATE IN VANCOUVER,048291501001501,KENYA HONORARY CONSULATE IN VANCOUVER,87
291,DIASPORA,5011,UNITED STATES OF AMERICA,016,KENYA EMBASSY IN WASHINGTON DC,048291501101601,KENYA EMBASSY IN WASHINGTON DC,314
291,DIASPORA,5011,UNITED STATES OF AMERICA,017,KENYA CONSULATE IN NEW YORK,048291501101701,KENYA CONSULATE IN NEW YORK,298
291,DIASPORA,5011,UNITED STATES OF AMERICA,018,KENYA CONSULATE IN LOS ANGELES,048291501101801,KENYA CONSULATE IN LOS ANGELES,132
Total,,,,,,,,"10,443"
